Seq,CR_No,Comp_Name_Eng,Comp_Name_Chi,Replaced_Name_Eng,Replaced_Name_Chi,Replaced_Eff_date
381,"1723370","GERMANY XIMENGFEIER ELECTRIC LIMITED","德國西蒙菲爾電氣有限公司","GERMANY XIMENGFEIER ELECTRIC LIMITED","公司註冊編號 1723370 有限公司"," 20-05-2013"
382,"2078219","GERMANY XIMENZI ELECTRIC (KAIGUAN) LIMITED","德國西門子電氣(開關)有限公司","Company Registration Number 2078219 Limited","公司註冊編號 2078219 有限公司"," 22-09-2014"
383,"1780620","GERMANY XIMENZI INDUSTRY LIMITED","德國西門子實業有限公司","Company Registration Number 1780620 Limited","公司註冊編號 1780620 有限公司"," 13-12-2012"
384,"1965665","GERMANY XIMENZI INTERNATIONAL ELECTRICIAN LIMITED","德國西門子國際電工有限公司","Company Registration Number 1965665 Limited","公司註冊編號 1965665 有限公司"," 10-04-2014"
385,"1707052","GERMANY XMZ (CHINA) ELECTRIC LIMITED","德國西門子(中國)電氣有限公司","GERMANY XMZ (CHINA) ELECTRIC LIMITED","公司註冊編號 1707052 有限公司"," 27-07-2012"
386,"1590253","GERMANY XMZ (HK) ELECTRIC INDUSTRY LIMITED","德國西門子(香港)電氣實業有限公司","GERMANY XMZ (HK) ELECTRIC INDUSTRY LIMITED","公司註冊編號 1590253 有限公司"," 30-12-2011"
387,"1619693","GERMANY XMZ ELECTRIC GROUP INTERNATIONAL HOLDING LIMITED","德國西門子電氣集團國際控股有限公司","GERMANY XMZ ELECTRIC GROUP INTERNATIONAL HOLDING LIMITED","公司註冊編號 1619693 有限公司"," 13-12-2011"
388,"1662204","GERMANY XMZ ELECTRICIAN ELECTRIC LIMITED","德國西門子電工電氣有限公司","GERMANY XMZ ELECTRICIAN ELECTRIC LIMITED","公司註冊編號 1662204 有限公司"," 20-01-2012"
389,"1724128","GERMANY XMZ INTERNATIONAL ELECTRIC LIMITED","德國西門子國際電氣有限公司","GERMANY XMZ INTERNATIONAL ELECTRIC LIMITED","公司註冊編號 1724128 有限公司"," 09-08-2012"
390,"2771500","GLANBIA NUTRITIONALS (IRELAND) LIMITED","愛爾蘭格蘭比亞營養有限公司","Company Registration Number 2771500 Limited","公司註冊編號 2771500 有限公司"," 04-02-2022"
391,"1833719","GOOD FOR YOU HK LIMITED","好有機薈有限公司","GOOD FOR YOU HK LIMITED","公司註冊編號 1833719 有限公司"," 13-01-2014"
392,"0704601","GOOD YEAR CORPORATION LIMITED","喜年有限公司","GOOD YEAR CORPORATION LIMITED","公司註冊編號 704601 有限公司"," 31-01-2022"
393,"1411660","GOODYEAR RUBBER (SHANGHAI) CO., LIMITED","固特異橡膠(上海)有限公司","Company Registration Number 1411660 Limited","公司註冊編號 1411660 有限公司"," 18-04-2013"
394,"1780028","GRAEGEE INTELLIGENT ELECTRICAL COMPANY LIMITED","格力智能電器有限公司","GRAEGEE INTELLIGENT ELECTRICAL COMPANY LIMITED","公司註冊編號 1780028 有限公司"," 13-05-2013"
395,"1954089","GRANT HARVEST INVESTMENT LIMITED","豐收投資有限公司","GRANT HARVEST INVESTMENT LIMITED","公司註冊編號 1954089 有限公司"," 22-09-2014"
396,"1626356","GREAT PACKING & GASKET CO., LIMITED","格力德密封材料有限公司","GREAT PACKING & GASKET CO., LIMITED","公司註冊編號 1626356 有限公司"," 03-05-2012"
397,"1740828","GREE ELECTRIC APPLIANCES (HK) INDUSTRY LIMITED","格力電器(香港)實業有限公司","Company Registration Number 1740828 Limited","公司註冊編號 1740828 有限公司"," 15-04-2013"
398,"1817457","GREE KITCHEN TOILET TECHNOLOGY (GUANGZHOU) LIMITED","格力廚衛科技(廣州)有限公司","Company Registration Number 1817457 Limited","公司註冊編號 1817457 有限公司"," 29-04-2013"
399,"1594434","GREE KITCHENBATHROOM CHINA LIMITED","格力廚衛(中國)有限公司","Company Registration Number 1594434 Limited","公司註冊編號 1594434 有限公司"," 27-06-2012"
400,"3095653","GUAN LONG VALVE (FU ZHOU) CO., LIMITED","冠龍閥門(福州)有限公司","GUAN LONG VALVE (FU ZHOU) CO., LIMITED","公司註冊編號 3095653 有限公司"," 15-07-2022"
401,"1555628","GUANGDONG FOSHAN DAZIRAN BUILDING MATERIALS LIMITED","廣東佛山大自然建材有限公司","GUANGDONG FOSHAN DAZIRAN BUILDING MATERIALS LIMITED","公司註冊編號 1555628 有限公司"," 26-03-2013"
402,"1483650","GUANGDONG FOSHAN MONA LISA ENTERPRISE (INT'L) DEVELOPMENT LIMITED","廣東佛山蒙娜麗莎企業(國際)發展有限公司","Company Registration Number 1483650 Limited","公司註冊編號 1483650 有限公司"," 18-04-2013"
403,"1918333","GUANGDONG FOSHAN YINGPAI YUANSU CERAMICS LIMITED","廣東佛山鷹牌元素陶瓷有限公司","Company Registration Number 1918333 Limited","公司註冊編號 1918333 有限公司"," 25-04-2014"
404,"1700804","GUANGDONG KEILON KITCHEN ELECTRICAL APPLIANCE LIMITED","廣東科龍廚房電器有限公司","Company Registration Number 1700804 Limited","公司註冊編號 1700804 有限公司"," 26-02-2013"
405,"2531061","GUANGDONG MAKEBOLUO POTTERY AND PORCELAIN LIMITED","廣東馬可波羅陶瓷有限公司","Company Registration Number 2531061 Limited","公司註冊編號 2531061 有限公司"," 03-01-2019"
406,"2143257","GUANGDONG MONA LISA CERAMIC LIMITED","廣東蒙娜麗莎陶瓷有限公司","Company Registration Number 2143257 Limited","公司註冊編號 2143257 有限公司"," 23-06-2015"
407,"1974122","GUANGDONG RUIFAN OX ELECTRICAL (INTERNATIONAL) LIMITED","廣東睿梵公牛電器(國際)有限公司","GUANGDONG RUIFAN OX ELECTRICAL (INTERNATIONAL) LIMITED","公司註冊編號 1974122 有限公司"," 28-04-2014"
408,"1435482","GUANGDONG SHIMAIDE ELECTRIC (HK) LIMITED","廣東施耐德電氣(香港)有限公司","Company Registration Number 1435482 Limited","公司註冊編號 1435482 有限公司"," 30-12-2013"
409,"1591855","GUANGDONG SHINAIDE INDUSTRY CO., LIMITED","廣東施耐德實業有限公司","Company Registration Number 1591855 Limited","公司註冊編號 1591855 有限公司"," 07-02-2014"
410,"1708682","GUANGDONG SITONG PANASONIC APPLIANCES LIMITED","廣東四通松下電器有限公司","Company Registration Number 1708682 Limited","公司註冊編號 1708682 有限公司"," 02-11-2012"
411,"1885221","GUANGDONG XIANDAI XIMENG ELECTRICITY SHARES LIMITED","廣東現代西蒙電氣股份有限公司","Company Registration Number 1885221 Limited","公司註冊編號 1885221 有限公司"," 29-04-2014"
412,"1604684","GUANGDONG XIMENG ELECTRICAL CO., LIMITED","廣東西蒙電氣有限公司","Company Registration Number 1604684 Limited","公司註冊編號 1604684 有限公司"," 25-06-2012"
413,"1733530","GUANGDONG ZHONGSHAN XINXIMENG ELECTRICAL INDUSTRIAL CO., LIMITED","廣東中山鑫西蒙電氣實業有限公司","GUANGDONG ZHONGSHAN XINXIMENG ELECTRICAL INDUSTRIAL CO., LIMITED","公司註冊編號 1733530 有限公司"," 05-06-2013"
414,"1747319","GUANGZHOU BLUE MOON DAILY CHEMICAL HK CO., LIMITED","廣州藍月亮日化香港有限公司","Company Registration Number 1747319 Limited","公司註冊編號 1747319 有限公司"," 16-11-2012"
415,"1964278","GUANGZHOU BULLS TRADE (CHINA) CO., LIMITED","廣州公牛貿易(中國)有限公司","Company Registration Number 1964278 Limited","公司註冊編號 1964278 有限公司"," 23-04-2014"
416,"1580069","GUANGZHOU GAOLUJIE WASHING SUPPLIES LIMITED","廣州高露潔洗滌用品有限公司","Company Registration Number 1580069 Limited","公司註冊編號 1580069 有限公司"," 14-08-2012"
417,"2042221","GUANGZHOU GELI INT'L ELECTRICIAN TRADING LIMITED","廣州格力國際電工商貿有限公司","GUANGZHOU GELI INT'L ELECTRICIAN TRADING LIMITED","公司註冊編號 2042221 有限公司"," 16-07-2014"
418,"1416687","GUANGZHOU HONDA GENERAL HEAVY INDUSTRY MACHINERY LIMITED","廣州本田通用重工機械有限公司","Company Registration Number 1416687 Limited","公司註冊編號 1416687 有限公司"," 20-03-2013"
419,"1900091","GUANGZHOU JIUGANWANG CLOTHING CO., LIMITED","廣州市九攼王服裝有限公司","Company Registration Number 1900091 Limited","公司註冊編號 1900091 有限公司"," 27-10-2014"
420,"1770215","GUANGZHOU SHINAIDE ELECTRIC TECHNOLOGY LIMITED","廣州施耐德電氣科技有限公司","Company Registration Number 1770215 Limited","公司註冊編號 1770215 有限公司"," 05-06-2013"
421,"1573228","GUIZHOU MAOTAI TOWN NATIONAL PITS CO., LIMITED","貴州茅臺鎮國窖酒業股份有限公司","GUIZHOU MAOTAI TOWN NATIONAL PITS CO., LIMITED","公司註冊編號 1573228 有限公司"," 22-11-2012"
422,"1976674","German Basf Lubricating Oil (China) Limited","德國巴斯夫潤滑油(中國)有限公司","Company Registration Number 1976674 Limited","公司註冊編號 1976674 有限公司"," 14-11-2014"
423,"2099730","German Bosch Elevator Group Limited","德國博世電梯(集團)有限公司","Company Registration Number 2099730 Limited","公司註冊編號 2099730 有限公司"," 20-01-2015"
424,"3064877","Germany Benz (HK) Chemical Co., Limited","德國奔馳(香港)化工有限公司","Company Registration Number 3064877 Limited","公司註冊編號 3064877 有限公司"," 04-02-2022"
425,"1801052","Germany Bosch Smxeins (Asia) Intelligent Electric Co., LIMITED","德國博世西門子(亞洲)智能電氣有限公司","Company Registration Number 1801052 Limited","公司註冊編號 1801052 有限公司"," 16-04-2013"
426,"1590208","Germany Electrolux Group (Hong Kong) Co., Limited","德國伊萊克斯集團(香港)有限公司","Company Registration Number 1590208 Limited","公司註冊編號 1590208 有限公司"," 11-08-2014"
427,"2310279","Goldman Sachs Fund (United States) Group Management Co., Limited","高盛基金(美國)集團管理有限公司","Company Registration Number 2310279 Limited","公司註冊編號 2310279 有限公司"," 25-07-2016"
428,"3062722","Goodwife (China) Smart Home Co., Limited","好太太(中國)智慧家居有限公司","Company Registration Number 3062722 Limited","公司註冊編號 3062722 有限公司"," 25-07-2022"
429,"1625882","Google International (HK) Company Limited","谷哥國際香港有限公司","Company Registration Number 1625882 Limited","谷哥國際香港有限公司"," 02-03-2016"
430,"1989169","Gree Electric Appliance CN Group Limited","格力電器中國集團有限公司","Company Registration Number 1989169 Limited","公司註冊編號 1989169 有限公司"," 22-06-2017"
431,"3070784","Guangdong Good wife Electric Appliance Limited","廣東好太太電器有限公司","Company Registration Number 3070784 Limited","公司註冊編號 3070784 有限公司"," 24-08-2022"
432,"1945623","Guangdong Rongsheng Electric Co., Limited","廣東容聲電器有限公司","Company Registration Number 1945623 Limited","公司註冊編號 1945623 有限公司"," 08-09-2014"
433,"1780244","Guangzhou Eyu Shoes Limited","廣州鱷魚鞋業有限公司","Guangzhou Eyu Shoes Limited","公司註冊編號 1780244 有限公司"," 24-10-2012"
434,"0961222","H.K MEILINKAI HOUSE TEXTILES INDUSTRIAL LIMITED","香港玫琳凱國際家紡實業有限公司","Company Registration Number 961222 Limited","公司註冊編號 961222 有限公司"," 31-07-2012"
435,"1581672","H.K MLK HOUSE TEXTILES GROUP LIMITED","","Company Registration Number 1581672 Limited",""," 29-11-2012"
436,"1386335","H.K PHILIPS INT'L LIGHTING LIMITED","香港飛利浦國際照明有限公司","Company Registration Number 1386335 Limited","公司註冊編號 1386335 有限公司"," 19-03-2012"
437,"1310514","H.K. SHINAIDE ELECTRIC GROUP LIMITED","香港施耐德電氣集團有限公司","Company Registration Number 1310514 Limited","公司註冊編號 1310514 有限公司"," 12-01-2015"
438,"1713068","HAERBIN HAXUE BEER LIMITED","哈爾濱哈雪啤酒有限公司","Company Registration Number 1713068 Limited","公司註冊編號 1713068 有限公司"," 04-05-2015"
439,"2624240","HAI XIN ELECTRONICS TECHNOLOGY CO., LIMITED","海信電器中國國際集團商貿投資控股有限公司","Company Registration Number 2624240 Limited","海信電器中國國際集團商貿投資控股有限公司"," 30-03-2022"
440,"2298035","HAILANZHIJIA HONGKONG DRESS LIMITED","海瀾之家香港服飾有限公司","Company Registration Number 2298035 Limited","公司註冊編號 2298035 有限公司"," 26-07-2016"
441,"2499359","HAITIN INTERNATIONAL HOLDINGS LIMITED","海天國際控股集團有限公司","Company Registration Number 2499359 Limited","公司註冊編號 2499359 有限公司"," 16-06-2020"
442,"1756701","HAIXIHUISHI (CHINA) DRESS LIMITED","海西惠氏(中國)服飾有限公司","Company Registration Number 1756701 Limited","公司註冊編號 1756701 有限公司"," 11-01-2013"
443,"2280821","HAIXIN GROUP (HONGKONG) ELECTRONIC LIMITED","海信集團(香港)電子有限公司","Company Registration Number 2280821 Limited","公司註冊編號 2280821 有限公司"," 06-09-2016"
444,"1825183","HANG FUNG TAI (HK) LIMITED","恒豐泰(香港)有限公司","Company Registration Number 1825183 Limited","公司註冊編號 1825183 有限公司"," 19-03-2013"
445,"1927645","HANGZHOU CHAOYANG CHIRUIDA RUBBER LIMITED","杭州朝陽馳銳達橡膠有限公司","Company Registration Number 1927645 Limited","公司註冊編號 1927645 有限公司"," 16-07-2014"
446,"1927639","HANGZHOU CHAOYANG HONGYUN TYRES LIMITED","杭州朝陽鴻運輪胎有限公司","Company Registration Number 1927639 Limited","公司註冊編號 1927639 有限公司"," 12-06-2014"
447,"1681158","HANGZHOU SNYDER AUTO PARTS LIMITED","杭州施耐德汽車零部件有限公司","Company Registration Number 1681158 Limited","公司註冊編號 1681158 有限公司"," 11-12-2012"
448,"1940204","HANGZHOU YILUHAOYUN RUBBER LIMITED","杭州一路好運橡膠有限公司","HANGZHOU YILUHAOYUN RUBBER LIMITED","公司註冊編號 1940204 有限公司"," 01-09-2014"
449,"1654934","HANGZHOU ZCYT INDUSTRY CO., LIMITED","杭州中策永通實業有限公司","Company Registration Number 1654934 Limited","公司註冊編號 1654934 有限公司"," 13-09-2012"
450,"1998191","HAPPINESS FATE LIMITED","聚划算有限公司","HAPPINESS FATE LIMITED","公司註冊編號 1998191 有限公司"," 01-06-2015"
451,"2032223","HARBIN HAGANG BEER CO., LIMITED","哈爾濱哈港啤酒有限公司","Company Registration Number 2032223 Limited","公司註冊編號 2032223 有限公司"," 03-12-2014"
452,"1947532","HARBIN ICE AND SNOW BEER CO., LIMITED","哈爾濱冰雪啤酒有限公司","Company Registration Number 1947532 Limited","公司註冊編號 1947532 有限公司"," 30-04-2015"
453,"2758378","HAYAO PREGNANCY & BABY (HK) PHARMACEUTICAL INDUSTRY LIMITED","哈藥孕嬰童香港藥業有限公司","Company Registration Number 2758378 Limited","公司註冊編號 2758378 有限公司"," 30-09-2019"
454,"2098534","HE JI INVESTMENT CONSULTING CO. , LIMITED","和記投資諮詢有限公司","HE JI INVESTMENT CONSULTING CO. , LIMITED","公司註冊編號 2098534 有限公司"," 12-05-2015"
455,"1623678","HEFEI MEILING HOUSEHOLD ELECTRIC APPLIANCE LIMITED","合肥美菱日用電器有限公司","Company Registration Number 1623678 Limited","公司註冊編號 1623678 有限公司"," 14-03-2013"
456,"2099958","HENAN WANKE PROPERTY LIMITED","河南萬科置業有限公司","Company Registration Number 2099958 Limited","公司註冊編號 2099958 有限公司"," 09-07-2015"
457,"2067696","HENGMING TRADE LIMITED","恒名貿易有限公司","HENGMING TRADE LIMITED","公司註冊編號 2067696 有限公司"," 30-10-2018"
458,"1873170","HENGYUANCAIYANG (SHANGHAI) BRAND MANAGEMENT CO., LIMITED","恒源彩羊(上海)品牌管理有限公司","Company Registration Number 1873170 Limited","公司註冊編號 1873170 有限公司"," 25-03-2014"
459,"1869967","HERMES B.D.I. LIMITED","","Company Registration Number 1869967 Limited",""," 25-04-2014"
460,"2029143","HERMES SHARES CO., LIMITED","愛馬仕股份有限公司","Company Registration Number 2029143 Limited","公司註冊編號 2029143 有限公司"," 27-02-2015"
461,"1278790","HILL KING LIMITED","希皇有限公司","HILL KING LIMITED","公司註冊編號 1278790 有限公司"," 10-07-2014"
462,"1857084","HILLER LIMITED","禧麗有限公司","HILLER LIMITED","公司註冊編號 1857084 有限公司"," 11-09-2015"
463,"1524258","HITACHI JAPAN LIMITED","","Company Registration Number 1524258 Limited",""," 10-08-2011"
464,"2239242","HITOMHOME HOLIDAY INN WORLDWIDE CO., LIMITED","海棠假日國際酒店管理集團有限公司","Company Registration Number 2239242 Limited","公司註冊編號 2239242 有限公司"," 08-08-2016"
465,"2066635","HK (UNIFY) INTERNATIONAL PETROCHEMICAL INDUSTRY CO., LIMITED","香港(統一)國際石油化工有限公司","HK (UNIFY) INTERNATIONAL PETROCHEMICAL INDUSTRY CO., LIMITED","公司註冊編號 2066635 有限公司"," 07-05-2015"
466,"2556222","HK AIMA SCIENCE TECHNOLOGY LIMITED","香港愛瑪科技有限公司","Company Registration Number 2556222 Limited","公司註冊編號 2556222 有限公司"," 31-05-2019"
467,"1836622","HK ARROW SANITARY WARE HOLDING LIMITED","香港箭牌衛浴股份有限公司","Company Registration Number 1836622 Limited","公司註冊編號 1836622 有限公司"," 21-01-2014"
468,"1711824","HK ARROW SANITARY WARE TECHNOLOGY LIMITED","香港箭牌衛浴科技有限公司","Company Registration Number 1711824 Limited","公司註冊編號 1711824 有限公司"," 12-03-2013"
469,"1775995","HK BELT COLLINS LANDSCAPE DESIGN CO., LIMITED","美國貝爾高林(香港)有限公司","Company Registration Number 1775995 Limited","公司註冊編號 1775995 有限公司"," 06-11-2014"
470,"2064613","HK BULL ELECTRIC (GUANGDONG) LIMITED","香港公牛電器(廣東)有限公司","Company Registration Number 2064613 Limited","公司註冊編號 2064613 有限公司"," 10-09-2014"
471,"2064487","HK BULL ELECTRIC TECHNOLOGY DEVELOP LIMITED","香港公牛電器科技發展有限公司","Company Registration Number 2064487 Limited","公司註冊編號 2064487 有限公司"," 12-09-2014"
472,"2217440","HK BULL ELECTRICAL LIMITED","香港公牛電氣有限公司","Company Registration Number 2217440 Limited","公司註冊編號 2217440 有限公司"," 17-09-2015"
473,"1762214","HK BULL INDUSTRIAL GROUP LIMITED","香港公牛實業集團有限公司","Company Registration Number 1762214 Limited","公司註冊編號 1762214 有限公司"," 05-08-2013"
474,"1465168","HK Baier Bio-International Group Limited","香港拜耳生物國際集團有限公司","Company Registration Number 1465168 Limited","公司註冊編號 1465168 有限公司"," 26-01-2012"
475,"2026083","HK CHANEL KNITTING CLOTHING CO., LIMITED","香港香奈兒針織服飾有限公司","Company Registration Number 2026083 Limited","公司註冊編號 2026083 有限公司"," 05-01-2015"
476,"2131360","HK CHANGHONG ELECTRONICS TECHNOLOGY LIMITED","香港長虹電子科技有限公司","Company Registration Number 2131360 Limited","公司註冊編號 2131360 有限公司"," 05-10-2015"
477,"1430048","HK CHINA GOLD CO., LIMITED","香港中國黃金有限公司","Company Registration Number 1430048 Limited","公司註冊編號 1430048 有限公司"," 07-06-2013"
478,"1727728","HK CHIVAS INT'L GROUP CO., LIMITED","香港芝華視國際集團有限公司","Company Registration Number 1727728 Limited","公司註冊編號 1727728 有限公司"," 30-04-2013"
479,"1311283","HK CROCODILE BABY FASHION LIMITED","香港鱷魚仔服飾有限公司","Company Registration Number 1311283 Limited","公司註冊編號 1311283 有限公司"," 17-01-2013"
480,"1088471","HK CROCODILE GROUP LIMITED","香港鱷魚集團有限公司","Company Registration Number 1088471 Limited","公司註冊編號 1088471 有限公司"," 17-01-2013"
481,"1788312","HK CROCODILE HOME TEXTILE LIMITED","香港鱷魚家用紡織品有限公司","Company Registration Number 1788312 Limited","公司註冊編號 1788312 有限公司"," 19-12-2012"
482,"1238080","HK CROCODILE LIMITED","香港鱷魚有限公司","Company Registration Number 1238080 Limited","公司註冊編號 1238080 有限公司"," 22-01-2013"
483,"1822094","HK CROCODILE PORT INT'L BRAND FASHION SHOES CLOTHING CO., LIMITED","香港鱷魚港國際品牌時尚鞋服有限公司","Company Registration Number 1822094 Limited","公司註冊編號 1822094 有限公司"," 09-10-2013"
484,"1630321","HK CROCODILES INT'L GROUP (ECOLOGICAL TEXTILE) CO., LIMITED","香港鱷魚國際集團(生態紡織品)有限公司","Company Registration Number 1630321 Limited","公司註冊編號 1630321 有限公司"," 09-08-2012"
485,"1751103","HK DELIXI ELECTRIC LIMITED","香港德力西電氣有限公司","Company Registration Number 1751103 Limited","公司註冊編號 1751103 有限公司"," 19-11-2012"
486,"2192885","HK Dayagao Biological Technology Limited","香港達雅高生物科技有限公司","Company Registration Number 2192885 Limited","公司註冊編號 2192885 有限公司"," 24-02-2016"
487,"2718333","HK ELF GROUP LIMITED","香港精靈集團有限公司","Company Registration Number 2718333 Limited","香港精靈集團有限公司"," 31-07-2019"
488,"1675308","HK FAENSHA BATHROOM LIMITED","香港法恩莎衛浴有限公司","Company Registration Number 1675308 Limited","公司註冊編號 1675308 有限公司"," 27-11-2012"
489,"2407363","HK FAENSHA GROUP LIMITED","香港法恩莎集團有限公司","Company Registration Number 2407363 Limited","公司註冊編號 2407363 有限公司"," 27-09-2017"
490,"1689225","HK FANGTAI BATHROOM LIMITED","香港方太衛浴有限公司","HK FANGTAI BATHROOM LIMITED","公司註冊編號 1689225 有限公司"," 03-05-2012"
491,"2624648","HK FUYAO LIMITED","香港福耀有限公司","Company Registration Number 2624648 Limited","公司註冊編號 2624648 有限公司"," 29-01-2019"
492,"1667977","HK GARDEN HEALTH FOOD COMPANY LIMITED","香港嘉頓健康食品有限公司","Company Registration Number 1667977 Limited","公司註冊編號 1667977 有限公司"," 20-03-2012"
493,"1751856","HK GELI INTERNATIONAL ELECTRIC LIMITED","香港格力國際電氣有限公司","Company Registration Number 1751856 Limited","公司註冊編號 1751856 有限公司"," 12-07-2017"
494,"1106784","HK GOLDEN-KING SPIDER INT'L GROUP OF SHOES-CLOTHES CO., LIMITED","香港金帝蜘蛛王國際集團鞋服有限公司","Company Registration Number 1106784 Limited","公司註冊編號 1106784 有限公司"," 31-07-2012"
495,"1599195","HK GREE ELECTRIC GROUP LIMITED","香港格力電氣集團有限公司","Company Registration Number 1599195 Limited","公司註冊編號 1599195 有限公司"," 12-07-2017"
496,"1807877","HK GREE INDUSTRY LIMITED","香港格力實業有限公司","HK GREE INDUSTRY LIMITED","公司註冊編號 1807877 有限公司"," 06-11-2013"
497,"2236371","HK GS INVESTMENT LIMITED","香港高盛投資有限公司","Company Registration Number 2236371 Limited","公司註冊編號 2236371 有限公司"," 08-08-2016"
498,"1879612","HK HAOHAIZI EDUCATION SUPPLIES INTERNATIONAL GROUP R&D MANUFACTURING LIMITED","香港好孩子童教用品國際集團研發製造有限公司","HK HAOHAIZI EDUCATION SUPPLIES INTERNATIONAL GROUP R&D MANUFACTURING LIMITED","公司註冊編號 1879612 有限公司"," 28-04-2014"
499,"2249946","HK HAOXIMENZI DEBANG ELECTRICAL TECHNOLOGY LIMITED","香港豪西門子德邦電器科技有限公司","Company Registration Number 2249946 Limited","公司註冊編號 2249946 有限公司"," 07-12-2015"
500,"1694391","HK HENG LONG XIN LIMITED","香港恒隆信有限公司","HK HENG LONG XIN LIMITED","公司註冊編號 1694391 有限公司"," 07-05-2012"
501,"1862747","HK HENGLONG INTERNATIONAL TRADE CO., LIMITED","香港恒隆國際貿易有限公司","HK HENGLONG INTERNATIONAL TRADE CO., LIMITED","公司註冊編號 1862747 有限公司"," 11-07-2013"
502,"2609051","HK HSU FU CHI (INT'L) TRADE CO., LIMITED","香港徐福記(國際)貿易有限公司","Company Registration Number 2609051 Limited","公司註冊編號 2609051 有限公司"," 02-01-2019"
503,"1772184","HK HUARUN HOLDING CO., LIMITED","香港華潤控股有限公司","Company Registration Number 1772184 Limited","公司註冊編號 1772184 有限公司"," 14-03-2013"
504,"1557387","HK HUARUN INTERNATIONAL BUSINESS CO., LIMITED","香港華潤國際商貿有限公司","Company Registration Number 1557387 Limited","公司註冊編號 1557387 有限公司"," 17-11-2011"
505,"1715747","HK HUARUNCITY HOLDING GROUP LIMITED","香港華潤城控股集團有限公司","Company Registration Number 1715747 Limited","公司註冊編號 1715747 有限公司"," 11-09-2012"
506,"1993062","HK HUATIAN HUAWANG GROUP (HOLDING) LIMITED","香港華田花王集團(控股)有限公司","HK HUATIAN HUAWANG GROUP (HOLDING) LIMITED","公司註冊編號 1993062 有限公司"," 16-12-2014"
507,"2410365","HK JIANPAI (CHINA) HOLDING CO., LIMITED","香港箭牌(中國)控股有限公司","Company Registration Number 2410365 Limited","公司註冊編號 2410365 有限公司"," 13-09-2017"
508,"1934254","HK JIANPAI CERAMICS INDUSTRY LIMITED","香港箭牌瓷業有限公司","HK JIANPAI CERAMICS INDUSTRY LIMITED","公司註冊編號 1934254 有限公司"," 18-08-2014"
509,"1889881","HK JIANPAI OVERALL HUTCH CO., LIMITED","香港箭牌整體廚衛有限公司","HK JIANPAI OVERALL HUTCH CO., LIMITED","公司註冊編號 1889881 有限公司"," 23-05-2014"
510,"1674094","HK JIEANTE TOYS FOR CHILDREN LIMITED","香港捷安特兒童玩具有限公司","HK JIEANTE TOYS FOR CHILDREN LIMITED","公司註冊編號 1674094 有限公司"," 04-12-2012"
511,"1992778","HK JINLIUFU GOLD JEWELRY CO., LIMITED","香港金六福黃金珠寶首飾有限公司","Company Registration Number 1992778 Limited","公司註冊編號 1992778 有限公司"," 23-04-2014"
512,"1368080","HK JINLIUFU INT'L JEWELRY GROUP LIMITED","香港金六福國際珠寶集團有限公司","HK JINLIUFU INT'L JEWELRY GROUP LIMITED","公司註冊編號 1368080 有限公司"," 19-02-2013"
513,"2158166","HK JINLIUFU JEWELRY GOLD AND SILVER DIAMOND LIMITED","香港金六福珠寶金銀鑽石有限公司","Company Registration Number 2158166 Limited","公司註冊編號 2158166 有限公司"," 09-02-2015"
514,"2164837","HK JINLIUFU ORNAMENTS INTERNATIONAL LIMITED","香港金六福首飾國際有限公司","Company Registration Number 2164837 Limited","公司註冊編號 2164837 有限公司"," 22-04-2015"
515,"1622947","HK JIUMU KING HOLDING FINERY GROUP LIMITED","香港九牧王控股服飾集團有限公司","HK JIUMU KING HOLDING FINERY GROUP LIMITED","公司註冊編號 1622947 有限公司"," 27-07-2012"
516,"1775176","HK JIUMUWANG CLOTHING TRADE LIMITED","香港玖牧王服裝商貿有限公司","Company Registration Number 1775176 Limited","公司註冊編號 1775176 有限公司"," 20-01-2015"
517,"1506968","HK JIUMUWANG MEN'S CLOTHING INT'L GROUP LIMITED","香港九牧王男裝國際集團有限公司","Company Registration Number 1506968 Limited","公司註冊編號 1506968 有限公司"," 29-11-2012"
518,"2232081","HK JIUYANG GROUP LIMITED","香港九陽集團有限公司","Company Registration Number 2232081 Limited","公司註冊編號 2232081 有限公司"," 16-10-2018"
519,"1563840","HK JONELOME INT'L TRADING LIMITED","香港九牧王國際商貿有限公司","HK JONELOME INT'L TRADING LIMITED","公司註冊編號 1563840 有限公司"," 28-11-2012"
520,"1859912","HK JSD INT'L ART AUCTION LIMITED","香港佳士得國際藝術品拍賣有限公司","Company Registration Number 1859912 Limited","公司註冊編號 1859912 有限公司"," 25-06-2013"
521,"1868317","HK KABIN DRESS LIMITED","香港卡賓服飾有限公司","HK KABIN DRESS LIMITED","公司註冊編號 1868317 有限公司"," 15-11-2013"
522,"2419577","HK KING OF FLOWERS ELECTRIC APPLIANCE HOLDING LIMITED","香港花王電器股份有限公司","HK KING OF FLOWERS ELECTRIC APPLIANCE HOLDING LIMITED","公司註冊編號 2419577 有限公司"," 10-05-2022"
523,"1748937","HK LEISHI ELECTRIC APPLIANCES LIMITED","香港雷士電器有限公司","Company Registration Number 1748937 Limited","公司註冊編號 1748937 有限公司"," 03-07-2013"
524,"1812941","HK LEISHI ELECTRIC APPLIANCES TECHNOLOGY LIMITED","香港雷士電器科技有限公司","Company Registration Number 1812941 Limited","公司註冊編號 1812941 有限公司"," 27-11-2013"
